 2016-10-12 21:21:02,228 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-10-12 21:21:02,229 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-10-12 21:21:02,240 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-10-12 21:21:02,242 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-10-12 21:21:02,242 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-10-12 21:21:02,245 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 3ms)
 2016-10-12 21:21:02,783 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-10-12 21:21:02,784 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-10-12 21:21:02,784 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-10-12 21:21:02,785 [P4608/D3/T124] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-10-12 21:21:03,984 [P4608/D3/T124] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-12 21:21:04,303 [P4608/D3/T124] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-12 21:21:04,326 [P4608/D3/T124] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-12 21:21:04,409 [P4608/D3/T124] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-10-12 21:21:04,538 [P4608/D3/T124] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-10-12 21:21:04,538 [P4608/D3/T124] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-10-12 21:21:04,550 [P4608/D3/T124] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2645ms)
 2016-10-12 21:21:05,155 [P4608/D3/T122] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:51600/umbraco (UmbracoModule request)
 2016-10-12 21:21:05,472 [P4608/D3/T115] INFO  umbraco.content - Load Xml from file...
 2016-10-12 21:21:05,473 [P4608/D3/T115] INFO  umbraco.content - Loaded Xml from file.
